feature_set,year,block,ROC_AUC,PR_AUC,n_test,prevalence
Stack,2018,0,0.5133169934640522,0.8156977504741498,193,0.793
Stack,2018,1,0.5150735294117648,0.5204848132583662,165,0.515
Stack,2018,2,0.5509892525647289,0.6120444730510974,181,0.492
Stack,2018,3,0.44719345352256745,0.4444493276321248,178,0.444
Stack,2018,4,0.49637190402476783,0.6587056381304165,212,0.642
Stack,2018,5,0.6571161308203991,0.7665137541040858,258,0.682
Stack,2018,6,0.6014367816091954,0.6081031924929805,187,0.535
Stack,2018,7,0.4486486486486486,0.3879389916781407,191,0.419
Stack,2018,8,0.4674842767295597,0.5864859684506909,181,0.586
Stack,2018,9,0.6067994505494505,0.8344262761084773,230,0.791
Stack,2019,0,0.5563063063063063,0.2256342910167416,193,0.192
Stack,2019,1,0.5211466165413534,0.26799251602328267,165,0.194
Stack,2019,2,0.4967836257309942,0.21273819444271536,181,0.055
Stack,2019,3,0.607514450867052,0.048824833702882486,178,0.028
Stack,2019,4,0.49078023943855786,0.2049483098091238,212,0.203
Stack,2019,5,0.6103299080584099,0.21360822591192846,258,0.167
Stack,2019,6,0.45402892561983477,0.05458478688910458,187,0.059
Stack,2019,7,0.684469696969697,0.1319549346279505,191,0.079
Stack,2019,8,0.5028694404591104,0.0963713751172133,181,0.094
Stack,2019,9,0.502262443438914,0.05158089680109423,230,0.039
Stack,2020,0,0.34316939890710385,0.040638406870341995,193,0.052
Stack,2020,1,0.40334617236398645,0.15645840743893819,165,0.188
Stack,2020,2,0.782840722495895,0.09089216893096308,181,0.039
Stack,2020,3,0.40573694890241657,0.18399809088944513,178,0.219
Stack,2020,4,0.4440641711229947,0.12159220355306445,212,0.118
Stack,2020,5,0.3642146017699115,0.09401063710505045,258,0.124
Stack,2020,6,0.5529244871235269,0.16865972837633422,187,0.155
Stack,2020,7,0.39864864864864863,0.3308217514881313,191,0.387
Stack,2020,8,0.5322997416020672,0.05981396121505329,181,0.05
Stack,2020,9,0.41469194312796204,0.07291930135533688,230,0.083
Stack,2021,0,0.4514260249554367,0.03099067130775554,193,0.031
Stack,2021,1,0.5605590062111802,0.03312836468049509,165,0.024
Stack,2021,2,0.6355128205128205,0.30277822495625617,181,0.138
Stack,2021,3,0.4725694444444444,0.10037112950958989,178,0.101
Stack,2021,4,0.5880102040816326,0.09495840025236116,212,0.075
Stack,2021,5,0.5352303523035231,0.05301142979029432,258,0.047
Stack,2021,6,0.525968992248062,0.08630046482600182,187,0.08
Stack,2021,7,0.4023203592814371,0.11155704369115586,191,0.126
Stack,2021,8,0.7411764705882353,0.13991187997066917,181,0.061
Stack,2021,9,0.47611865258924085,0.040262664719854804,230,0.039
Stack,2022,0,0.5680206318504191,0.5603680611465595,193,0.513
Stack,2022,1,0.5615659519168291,0.6936372624085103,165,0.655
Stack,2022,2,0.4587339743589744,0.6294445504966775,181,0.646
Stack,2022,3,0.5903781979977752,0.6986146112924827,178,0.652
Stack,2022,4,0.4739022000534426,0.49332113408257156,212,0.486
Stack,2022,5,0.5165735794074793,0.5607759910327224,258,0.55
Stack,2022,6,0.47402096823928463,0.7359267203222062,187,0.754
Stack,2022,7,0.3980482794042116,0.6212491787969656,191,0.691
Stack,2022,8,0.5496158770806658,0.6571781305631064,181,0.608
Stack,2022,9,0.4160437263885539,0.5602170037542284,230,0.622
Stack,2023,0,0.0625,0.0055248618784530384,193,0.005
Stack,2023,1,0.44238683127572015,0.020959295955537343,165,0.018
Stack,2023,2,0.6480855855855856,0.3457137059656738,181,0.204
Stack,2023,3,0.3058092802338327,0.06806248014573524,178,0.096
Stack,2023,4,0.5090592334494772,0.05433560227155783,212,0.033
Stack,2023,5,0.30031236055332444,0.025804728282013717,258,0.035
Stack,2023,6,0.532051282051282,0.13588323536236002,187,0.096
Stack,2023,7,0.5337016574585636,0.0617580209713246,191,0.052
Stack,2023,8,0.4653361344537815,0.16379046373413547,181,0.155
Stack,2023,9,0.526463963963964,0.045482690202195905,230,0.035
Stack,2024,0,0.6596491228070175,0.030377022346419237,193,0.016
Stack,2024,1,0.4439203354297694,0.04241034059538302,165,0.036
Stack,2024,2,0.2832512315270936,0.031538032633310245,181,0.039
Stack,2024,3,0.39849624060150374,0.03682956013947225,178,0.039
Stack,2024,4,0.21291866028708134,0.011953426040543742,212,0.014
Stack,2024,5,0.3076923076923076,0.039274476640094404,258,0.043
Stack,2024,6,0.427027027027027,0.017211589580010633,187,0.011
Stack,2024,7,0.5166666666666667,0.22352409208096816,191,0.026
Stack,2024,8,0.42500000000000004,0.030170155513460195,181,0.028
Stack,2024,9,0.4464285714285714,0.027554345509575903,230,0.026
AEF,2018,0,0.4148692810457516,0.7477634933624957,193,0.793
AEF,2018,1,0.6348529411764705,0.6099095906468441,165,0.515
AEF,2018,2,0.6581582804103565,0.651082282438652,181,0.492
AEF,2018,3,0.5086306098964326,0.4709001901484171,178,0.444
AEF,2018,4,0.6266447368421053,0.7380313636618733,212,0.642
AEF,2018,5,0.5602827050997783,0.7296384974489134,258,0.682
AEF,2018,6,0.6009195402298851,0.6236607222499172,187,0.535
AEF,2018,7,0.49234234234234237,0.44249247499882505,191,0.419
AEF,2018,8,0.5628930817610063,0.6434970783030411,181,0.586
AEF,2018,9,0.48088369963369965,0.7899591230910858,230,0.791
AEF,2019,0,0.5855855855855856,0.2701374317280213,193,0.192
AEF,2019,1,0.45653195488721804,0.19522412757808527,165,0.194
AEF,2019,2,0.6894736842105263,0.13087915080662552,181,0.055
AEF,2019,3,0.36531791907514455,0.02519124890489988,178,0.028
AEF,2019,4,0.42397137745974955,0.17624336351673264,212,0.203
AEF,2019,5,0.5309897241752298,0.19390659914007446,258,0.167
AEF,2019,6,0.6022727272727273,0.1963572484741474,187,0.059
AEF,2019,7,0.609469696969697,0.106001479122351,191,0.079
AEF,2019,8,0.5247489239598279,0.10815850398717301,181,0.094
