k,feature_set,fold,R2,n_test
5,AEF,0,0.5106120661591602,176
5,AEF,1,0.38913169243631063,157
5,AEF,2,0.40595325824753714,157
5,AEF,3,0.3485243666147535,151
5,AEF,4,0.0754068405437277,131
5,Stack,0,0.3452356136473228,176
5,Stack,1,0.06244984384373509,157
5,Stack,2,0.2279836818448545,157
5,Stack,3,0.10817334781246779,151
5,Stack,4,0.19746941586546873,131
5,AEF+Stack,0,0.4759849793888181,176
5,AEF+Stack,1,0.3965363578228789,157
5,AEF+Stack,2,0.42102332041978907,157
5,AEF+Stack,3,0.3350145329124108,151
5,AEF+Stack,4,0.10470170711590754,131
10,AEF,0,0.47134744522214944,123
10,AEF,1,0.23732205944372986,102
10,AEF,2,0.3211678117707044,92
10,AEF,3,0.47385484240691256,88
10,AEF,4,0.46046817527293926,76
10,AEF,5,0.34820726858963225,68
10,AEF,6,0.6198465561888187,62
10,AEF,7,-0.0008718852969582525,57
10,AEF,8,0.27695697539779474,55
10,AEF,9,0.46844262713163376,49
10,Stack,0,0.33304119895821904,123
10,Stack,1,0.21076630597720458,102
10,Stack,2,0.21725510895549593,92
10,Stack,3,0.32280014367857945,88
10,Stack,4,0.19550263082418895,76
10,Stack,5,0.27592211797097743,68
10,Stack,6,0.4735383914144593,62
10,Stack,7,0.25136868675748125,57
10,Stack,8,-0.15798780691629588,55
10,Stack,9,0.1817370420040687,49
10,AEF+Stack,0,0.45250290082084654,123
10,AEF+Stack,1,0.2843481198894524,102
10,AEF+Stack,2,0.3513923549731478,92
10,AEF+Stack,3,0.46650980869690317,88
10,AEF+Stack,4,0.47291067797091035,76
10,AEF+Stack,5,0.34343495780701383,68
10,AEF+Stack,6,0.6320941195232136,62
10,AEF+Stack,7,0.1095646741876477,57
10,AEF+Stack,8,0.14734305750175758,55
10,AEF+Stack,9,0.45373598854977126,49
15,AEF,0,0.4486966927088659,78
15,AEF,1,0.2800240737507548,72
15,AEF,2,0.35710274920974217,70
15,AEF,3,0.407295929237092,55
15,AEF,4,0.17065605017568852,54
15,AEF,5,0.39812252575698703,53
15,AEF,6,-0.09556073162148992,49
15,AEF,7,0.32152262780696417,46
15,AEF,8,0.573363050583723,46
15,AEF,9,0.44565132261656915,46
15,AEF,10,0.6484215523940668,45
15,AEF,11,0.33442283439223686,42
15,AEF,12,0.28418172732033464,42
15,AEF,13,0.4960308122819036,39
15,AEF,14,0.6412575818985176,35
15,Stack,0,0.1788142461119907,78
15,Stack,1,0.19823476032848142,72
15,Stack,2,0.25370240586090576,70
15,Stack,3,0.09291634737021037,55
15,Stack,4,-0.10081011166097431,54
15,Stack,5,0.4773720855279966,53
15,Stack,6,0.2631511663972951,49
15,Stack,7,0.2822343408236916,46
15,Stack,8,0.25004378420287665,46
15,Stack,9,0.43748930270784747,46
15,Stack,10,0.5069766820605297,45
15,Stack,11,0.27655339742720175,42
15,Stack,12,-0.17303550205959772,42
15,Stack,13,0.16852528653791898,39
15,Stack,14,0.6242772207138504,35
15,AEF+Stack,0,0.45361077603913424,78
15,AEF+Stack,1,0.26568194398286227,72
15,AEF+Stack,2,0.3728607943449299,70
15,AEF+Stack,3,0.3462181028335164,55
15,AEF+Stack,4,0.14033018862458813,54
15,AEF+Stack,5,0.42922641775949966,53
15,AEF+Stack,6,0.05118804147603562,49
15,AEF+Stack,7,0.3288745528150214,46
15,AEF+Stack,8,0.5305909905988612,46
15,AEF+Stack,9,0.48195075028372514,46
15,AEF+Stack,10,0.6778642556771681,45
15,AEF+Stack,11,0.349152271166861,42
15,AEF+Stack,12,0.05795477218375844,42
15,AEF+Stack,13,0.4470513933075304,39
15,AEF+Stack,14,0.68319841003095,35
