feature_set,fold,R2,n_test,pca_explained_var
Stack-17,0,0.33304119895821904,123,
AEF-64,0,0.47134744522214944,123,
AEF-PCA17,0,0.473747962354082,123,0.911
AEF-PCA17+Stack-17,0,0.4887278103992061,123,0.911
AEF-64+Stack-17,0,0.45250290082084654,123,
Stack-17,1,0.21076630597720458,102,
AEF-64,1,0.23732205944372986,102,
AEF-PCA17,1,0.3011881416994927,102,0.9132
AEF-PCA17+Stack-17,1,0.30170241135808873,102,0.9132
AEF-64+Stack-17,1,0.2843481198894524,102,
Stack-17,2,0.21725510895549593,92,
AEF-64,2,0.3211678117707044,92,
AEF-PCA17,2,0.2561176448599445,92,0.9124
AEF-PCA17+Stack-17,2,0.23920737912726175,92,0.9124
AEF-64+Stack-17,2,0.3513923549731478,92,
Stack-17,3,0.32280014367857945,88,
AEF-64,3,0.47385484240691256,88,
AEF-PCA17,3,0.4351827430290408,88,0.9116
AEF-PCA17+Stack-17,3,0.40560336407729325,88,0.9116
AEF-64+Stack-17,3,0.46650980869690317,88,
Stack-17,4,0.19550263082418895,76,
AEF-64,4,0.46046817527293926,76,
AEF-PCA17,4,0.3926781140410105,76,0.9142
AEF-PCA17+Stack-17,4,0.4466796444159413,76,0.9142
AEF-64+Stack-17,4,0.47291067797091035,76,
Stack-17,5,0.27592211797097743,68,
AEF-64,5,0.34820726858963225,68,
AEF-PCA17,5,0.3285635323944379,68,0.9091
AEF-PCA17+Stack-17,5,0.4029107160212616,68,0.9091
AEF-64+Stack-17,5,0.34343495780701383,68,
Stack-17,6,0.4735383914144593,62,
AEF-64,6,0.6198465561888187,62,
AEF-PCA17,6,0.6129269736101455,62,0.9128
AEF-PCA17+Stack-17,6,0.5796858809860679,62,0.9128
AEF-64+Stack-17,6,0.6320941195232136,62,
Stack-17,7,0.25136868675748125,57,
AEF-64,7,-0.0008718852969582525,57,
AEF-PCA17,7,-0.22840641521756133,57,0.9098
AEF-PCA17+Stack-17,7,0.04701215445262563,57,0.9098
AEF-64+Stack-17,7,0.1095646741876477,57,
Stack-17,8,-0.15798780691629588,55,
AEF-64,8,0.27695697539779474,55,
AEF-PCA17,8,0.28270382425679985,55,0.9112
AEF-PCA17+Stack-17,8,0.1282175041674426,55,0.9112
AEF-64+Stack-17,8,0.14734305750175758,55,
Stack-17,9,0.1817370420040687,49,
AEF-64,9,0.46844262713163376,49,
AEF-PCA17,9,0.4843272335494829,49,0.9116
AEF-PCA17+Stack-17,9,0.3453010927505764,49,0.9116
AEF-64+Stack-17,9,0.45373598854977126,49,
