k,feature_set,fold,ROC_AUC,PR_AUC,n_test
5,AEF,0,0.7573384994464879,0.45398962349423905,3388
5,AEF,1,0.8180888060285045,0.539863794728576,2744
5,AEF,2,0.774061933263165,0.4888499144849182,2695
5,AEF,3,0.7618978243978245,0.45432138389167137,2506
5,AEF,4,0.7512488735551902,0.42534842534707945,2499
5,Stack,0,0.7302233800842767,0.3594478365405002,3388
5,Stack,1,0.8118508183834817,0.5263271271532832,2744
5,Stack,2,0.7112925832639504,0.3927750952957222,2695
5,Stack,3,0.7198505859220146,0.40513860636003685,2506
5,Stack,4,0.8048751728553394,0.4724046675593076,2499
5,AEF+Stack,0,0.7787441300932043,0.479021661711467,3388
5,AEF+Stack,1,0.8697681692656566,0.6313799087270031,2744
5,AEF+Stack,2,0.7869881149994676,0.44861239695640254,2695
5,AEF+Stack,3,0.79780735137878,0.4838792794190723,2506
5,AEF+Stack,4,0.8272369839176799,0.4953102181301694,2499
10,AEF,0,0.7926386083624233,0.5141041605167901,1806
10,AEF,1,0.805126609725286,0.531985964747326,1610
10,AEF,2,0.7815699554579291,0.4865766465322548,1484
10,AEF,3,0.7994238008117258,0.4968900620090813,1351
10,AEF,4,0.716784475537063,0.3868454808507421,1337
10,AEF,5,0.8278865005525256,0.5328907822550665,1309
10,AEF,6,0.7865507651748972,0.4910013887117022,1267
10,AEF,7,0.783814350451998,0.531353734412421,1267
10,AEF,8,0.7323819038104752,0.3682049776492421,1246
10,AEF,9,0.7662583232517598,0.43469145450413904,1155
10,Stack,0,0.790122828159388,0.4868863802418379,1806
10,Stack,1,0.8335265946414767,0.6035502850537166,1610
10,Stack,2,0.7294175971688328,0.34694939530254,1484
10,Stack,3,0.8583019648252126,0.586210427931055,1351
10,Stack,4,0.7706067445289837,0.4259507154493713,1337
10,Stack,5,0.8302801839375469,0.5375213991142177,1309
10,Stack,6,0.7650744277263375,0.4047754040831772,1267
10,Stack,7,0.7198350576365515,0.3920367569273688,1267
10,Stack,8,0.7081877306367103,0.4047989794454582,1246
10,Stack,9,0.7844837440582223,0.4122114680686015,1155
10,AEF+Stack,0,0.8331362575977882,0.5741057321654958,1806
10,AEF+Stack,1,0.8659732828025719,0.6387717674270175,1610
10,AEF+Stack,2,0.8104399292208189,0.49551384005592225,1484
10,AEF+Stack,3,0.864470520612089,0.5822909585684245,1351
10,AEF+Stack,4,0.8077026924115396,0.45709316082252816,1337
10,AEF+Stack,5,0.8597939614301502,0.5747813583702456,1309
10,AEF+Stack,6,0.8094618055555556,0.47351944150106695,1267
10,AEF+Stack,7,0.7767448368065542,0.47812384873512487,1267
10,AEF+Stack,8,0.770596750188587,0.42194820714767745,1246
10,AEF+Stack,9,0.8124398677805614,0.4812010840813332,1155
15,AEF,0,0.7698695738623145,0.48550741616965915,1204
15,AEF,1,0.7326560414361174,0.3776891571335408,1057
15,AEF,2,0.7322851266834332,0.39265734371917915,1008
15,AEF,3,0.7703314408470155,0.42457476528775706,994
15,AEF,4,0.7182204138145394,0.39890352743466573,938
15,AEF,5,0.8119986631016043,0.4877119721028244,924
15,AEF,6,0.7766474879886114,0.4793239007409178,917
15,AEF,7,0.7474652618720415,0.47341214317405983,917
15,AEF,8,0.7482544285023913,0.42739108317447316,889
15,AEF,9,0.7517437833513809,0.4369951834609883,868
15,AEF,10,0.8411600429645543,0.551249835943636,840
15,AEF,11,0.8272380346636985,0.5649143718112204,833
15,AEF,12,0.8388189120116832,0.5952086717421663,826
15,AEF,13,0.8646092449757511,0.6142536817691194,819
15,AEF,14,0.8621693121693121,0.5878484227403914,798
15,Stack,0,0.7696643948912552,0.4159664361146066,1204
15,Stack,1,0.6806469829897437,0.3488687871716913,1057
15,Stack,2,0.7783778730692914,0.44339327623923935,1008
15,Stack,3,0.7809638893151245,0.41094240546777794,994
15,Stack,4,0.7823447135863691,0.46479552995015816,938
15,Stack,5,0.8645099052017502,0.6009896869967575,924
15,Stack,6,0.8124740494691263,0.4969145842419797,917
15,Stack,7,0.7152313330279433,0.39977533536981935,917
15,Stack,8,0.7517913979569731,0.40573711570771065,889
15,Stack,9,0.6564478523417913,0.3119142063052636,868
15,Stack,10,0.8251514500537058,0.5696015706318429,840
15,Stack,11,0.8626658539601774,0.6557732743944426,833
15,Stack,12,0.7758625410733844,0.47268791493397855,826
15,Stack,13,0.7386540560854703,0.43511120111314633,819
15,Stack,14,0.8706207482993197,0.6502492827158142,798
15,AEF+Stack,0,0.8072121465950867,0.5294476080103357,1204
15,AEF+Stack,1,0.7501112340707107,0.4065003785906961,1057
15,AEF+Stack,2,0.8181982666594293,0.4748282598583701,1008
15,AEF+Stack,3,0.8042875044754744,0.4624766677312308,994
15,AEF+Stack,4,0.8079697091713114,0.47385284191877564,938
15,AEF+Stack,5,0.8718400583373845,0.5763986875850048,924
15,AEF+Stack,6,0.8743104573224983,0.6260706769135567,917
15,AEF+Stack,7,0.7454191479615209,0.44972398189149027,917
15,AEF+Stack,8,0.7758086287056941,0.4223716473037111,889
15,AEF+Stack,9,0.7577433736232647,0.4415898161216366,868
15,AEF+Stack,10,0.8670848549946294,0.5886611021751433,840
15,AEF+Stack,11,0.8708680058656207,0.6347964356026718,833
15,AEF+Stack,12,0.8705184373859073,0.6551880447339541,826
15,AEF+Stack,13,0.876975250093953,0.6076244629905541,819
15,AEF+Stack,14,0.8911659108087681,0.670646536197945,798
