mean_diff,ci95_lo,ci95_hi,ci_excludes_zero,perm_p,n_folds,k,metric,comparison
0.0169,-0.0213,0.0473,False,0.4375,5,5,ROC_AUC,AEF - Stack
0.0396,0.0209,0.06,True,0.0625,5,5,ROC_AUC,AEF+Stack - AEF
0.0565,0.0383,0.073,True,0.0625,5,5,ROC_AUC,AEF+Stack - Stack
0.0413,-0.0066,0.0861,False,0.1875,5,5,PR_AUC,AEF - Stack
0.0352,-0.0051,0.0739,False,0.25,5,5,PR_AUC,AEF+Stack - AEF
0.0764,0.0459,0.1056,True,0.0625,5,5,PR_AUC,AEF+Stack - Stack
0.0003,-0.0241,0.0243,False,0.9824,10,10,ROC_AUC,AEF - Stack
0.0418,0.026,0.0577,True,0.0039,10,10,ROC_AUC,AEF+Stack - AEF
0.0421,0.0299,0.0548,True,0.002,10,10,ROC_AUC,AEF+Stack - Stack
0.0174,-0.0297,0.0668,False,0.5078,10,10,PR_AUC,AEF - Stack
0.0403,0.0103,0.067,True,0.0371,10,10,PR_AUC,AEF+Stack - AEF
0.0576,0.033,0.0844,True,0.0039,10,10,PR_AUC,AEF+Stack - Stack
0.0085,-0.0166,0.0368,False,0.5641,15,15,ROC_AUC,AEF - Stack
0.0397,0.0253,0.0552,True,0.0001,15,15,ROC_AUC,AEF+Stack - AEF
0.0483,0.0313,0.0683,True,0.0001,15,15,ROC_AUC,AEF+Stack - Stack
0.0143,-0.0272,0.0575,False,0.5275,15,15,PR_AUC,AEF - Stack
0.0482,0.0266,0.0704,True,0.0011,15,15,PR_AUC,AEF+Stack - AEF
0.0625,0.0312,0.0951,True,0.0015,15,15,PR_AUC,AEF+Stack - Stack
