feature_set,test_year,ROC_AUC,PR_AUC,Brier,n_test,positives_test,prevalence_test,mean_pred_prob
AEF,2018,0.5628809123686935,0.6174243278038877,0.31059157848358154,1976,1111,0.5622,0.3397
Stack,2018,0.550433135799129,0.5900266912605088,0.3960135877132416,1976,1111,0.5622,0.1962
AEF+Stack,2018,0.6044276103910968,0.6464257833069758,0.33844372630119324,1976,1111,0.5622,0.2548
AEF,2019,0.5017680872277739,0.08919302159774428,0.08554887026548386,1976,173,0.0876,0.102
Stack,2019,0.6239568605952186,0.13597451102603275,0.102926105260849,1976,173,0.0876,0.171
AEF+Stack,2019,0.5882264305797338,0.11137025540364641,0.08333054929971695,1976,173,0.0876,0.0893
AEF,2020,0.4250680517818443,0.10444943238840183,0.11746242642402649,1976,229,0.1159,0.1343
Stack,2020,0.5186095689928836,0.13200346684311326,0.1919398158788681,1976,229,0.1159,0.3689
AEF+Stack,2020,0.47608751621619594,0.10740962812521282,0.1910574585199356,1976,229,0.1159,0.3613
AEF,2021,0.6238534640901506,0.1032717692271276,0.056135740131139755,1976,117,0.0592,0.0758
Stack,2021,0.5833528732937017,0.07188531370080947,0.059074822813272476,1976,117,0.0592,0.0614
AEF+Stack,2021,0.738100164135667,0.13937011701448224,0.05430100858211517,1976,117,0.0592,0.0362
AEF,2022,0.4987911647213846,0.5773412380017978,0.3612399995326996,1976,1115,0.5643,0.2626
Stack,2022,0.5107571235866106,0.5745384391935171,0.39640629291534424,1976,1115,0.5643,0.2006
AEF+Stack,2022,0.5217480976859736,0.5773944026689077,0.38085830211639404,1976,1115,0.5643,0.2164
AEF,2023,0.6383416155120335,0.0929135501874333,0.054530128836631775,1976,110,0.0557,0.0872
Stack,2023,0.423492156289584,0.04576030617974165,0.06929019093513489,1976,110,0.0557,0.1115
AEF+Stack,2023,0.5836646204813408,0.06573115390680656,0.05651739612221718,1976,110,0.0557,0.0731
AEF,2024,0.5451883096113865,0.028214648660148438,0.04843950644135475,1976,52,0.0263,0.1457
Stack,2024,0.4323624660163121,0.02399975480106202,0.059224702417850494,1976,52,0.0263,0.1575
AEF+Stack,2024,0.5074064449064448,0.025435925768391987,0.057101160287857056,1976,52,0.0263,0.1641
