feature_set,test_year,ROC_AUC,PR_AUC,Brier,n_test,positives_test,prevalence_test,mean_pred_prob
AEF,2018,0.56648664802442,0.6572816748972545,0.3067551255226135,1976,1186,0.6002,0.3743
Stack,2018,0.5651936089824322,0.6394762111353605,0.39775580167770386,1976,1186,0.6002,0.2213
AEF+Stack,2018,0.619281917732192,0.6949754927141607,0.3250618577003479,1976,1186,0.6002,0.3029
AEF,2019,0.5172989409021336,0.11423301159862753,0.10636132210493088,1976,222,0.1123,0.1244
Stack,2019,0.6120822932396479,0.1681762628468404,0.1238233745098114,1976,222,0.1123,0.1928
AEF+Stack,2019,0.59238343246325,0.14225630913178267,0.10245412588119507,1976,222,0.1123,0.1054
AEF,2020,0.4189001122334456,0.11387451557989803,0.14097850024700165,1976,275,0.1392,0.158
Stack,2020,0.5178429800652022,0.15656023918755216,0.2516096830368042,1976,275,0.1392,0.462
AEF+Stack,2020,0.481502859280637,0.1308971954625257,0.23524793982505798,1976,275,0.1392,0.4307
AEF,2021,0.6131224712107065,0.11238775964433778,0.06645862013101578,1976,140,0.0709,0.0935
Stack,2021,0.5573646125116714,0.08173822957961244,0.06946118175983429,1976,140,0.0709,0.061
AEF+Stack,2021,0.739297385620915,0.17210082335701118,0.06381379067897797,1976,140,0.0709,0.0411
AEF,2022,0.5340921725144778,0.6387627104560638,0.3594530522823334,1976,1211,0.6129,0.2962
Stack,2022,0.5358208794114949,0.6353701435225751,0.40072718262672424,1976,1211,0.6129,0.2284
AEF+Stack,2022,0.540336674168704,0.6465302206549732,0.3805643320083618,1976,1211,0.6129,0.2506
AEF,2023,0.5934143918247623,0.10319167706675798,0.06816842406988144,1976,138,0.0698,0.1037
Stack,2023,0.4157224298623267,0.05554039979085134,0.0829664021730423,1976,138,0.0698,0.1202
AEF+Stack,2023,0.5352107678478497,0.07536579517622116,0.07135754078626633,1976,138,0.0698,0.0882
AEF,2024,0.5156783872036345,0.027680468660608006,0.058960385620594025,1976,55,0.0278,0.1728
Stack,2024,0.3957834461218115,0.02249758010450866,0.08146288245916367,1976,55,0.0278,0.2007
AEF+Stack,2024,0.41903364724811887,0.02297730204899278,0.08381963521242142,1976,55,0.0278,0.2196
