feature_set,fold,ROC_AUC,PR_AUC,n_test,pca_explained_var
Stack-5,0,0.790122828159388,0.4868863802418379,1806,
AEF-64,0,0.7926386083624233,0.5141041605167901,1806,
AEF-PCA5,0,0.5629803131712597,0.23959924873361288,1806,0.5679
AEF-PCA5+Stack-5,0,0.7939606187989507,0.49203933612058354,1806,0.5679
AEF-64+Stack-5,0,0.8331362575977882,0.5741057321654958,1806,
Stack-5,1,0.8335265946414767,0.6035502850537166,1610,
AEF-64,1,0.805126609725286,0.531985964747326,1610,
AEF-PCA5,1,0.5659468861360937,0.2567096029279604,1610,0.5635
AEF-PCA5+Stack-5,1,0.8444199332541433,0.5971857345005929,1610,0.5635
AEF-64+Stack-5,1,0.8659732828025719,0.6387717674270175,1610,
Stack-5,2,0.7294175971688328,0.34694939530254,1484,
AEF-64,2,0.7815699554579291,0.4865766465322548,1484,
AEF-PCA5,2,0.5938861431447923,0.23408118500245062,1484,0.5584
AEF-PCA5+Stack-5,2,0.7496552565745317,0.36308293655701035,1484,0.5584
AEF-64+Stack-5,2,0.8104399292208189,0.49551384005592225,1484,
Stack-5,3,0.8583019648252126,0.586210427931055,1351,
AEF-64,3,0.7994238008117258,0.4968900620090813,1351,
AEF-PCA5,3,0.5194064166999629,0.20667829875683982,1351,0.5659
AEF-PCA5+Stack-5,3,0.8689497332800593,0.5815633190029142,1351,0.5659
AEF-64+Stack-5,3,0.864470520612089,0.5822909585684245,1351,
Stack-5,4,0.7706067445289837,0.4259507154493713,1337,
AEF-64,4,0.716784475537063,0.3868454808507421,1337,
AEF-PCA5,4,0.5740361249766344,0.250309667692763,1337,0.5656
AEF-PCA5+Stack-5,4,0.7995610725338023,0.45488193774145225,1337,0.5656
AEF-64+Stack-5,4,0.8077026924115396,0.45709316082252816,1337,
Stack-5,5,0.8302801839375469,0.5375213991142177,1309,
AEF-64,5,0.8278865005525256,0.5328907822550665,1309,
AEF-PCA5,5,0.5533632766549033,0.25106700955637873,1309,0.5646
AEF-PCA5+Stack-5,5,0.8458275407264821,0.5725888463406195,1309,0.5646
AEF-64+Stack-5,5,0.8597939614301502,0.5747813583702456,1309,
Stack-5,6,0.7650744277263375,0.4047754040831772,1267,
AEF-64,6,0.7865507651748972,0.4910013887117022,1267,
AEF-PCA5,6,0.5587424447016461,0.23918569171392803,1267,0.5679
AEF-PCA5+Stack-5,6,0.768578800154321,0.40401168630043627,1267,0.5679
AEF-64+Stack-5,6,0.8094618055555556,0.47351944150106695,1267,
Stack-5,7,0.7198350576365515,0.3920367569273688,1267,
AEF-64,7,0.783814350451998,0.531353734412421,1267,
AEF-PCA5,7,0.5725431594002378,0.2525020914586713,1267,0.5652
AEF-PCA5+Stack-5,7,0.7334183177744442,0.40377226981359926,1267,0.5652
AEF-64+Stack-5,7,0.7767448368065542,0.47812384873512487,1267,
Stack-5,8,0.7081877306367103,0.4047989794454582,1246,
AEF-64,8,0.7323819038104752,0.3682049776492421,1246,
AEF-PCA5,8,0.549381231013884,0.23221130799703357,1246,0.5663
AEF-PCA5+Stack-5,8,0.7352198821586576,0.41409023572520826,1246,0.5663
AEF-64+Stack-5,8,0.770596750188587,0.42194820714767745,1246,
Stack-5,9,0.7844837440582223,0.4122114680686015,1155,
AEF-64,9,0.7662583232517598,0.43469145450413904,1155,
AEF-PCA5,9,0.5697438486525621,0.25085077951741835,1155,0.564
AEF-PCA5+Stack-5,9,0.7781656934376101,0.4367006649627359,1155,0.564
AEF-64+Stack-5,9,0.8124398677805614,0.4812010840813332,1155,
