feature_set,fold,ROC_AUC,PR_AUC
AEF,0,0.7926386083624233,0.5141041605167901
AEF,1,0.805126609725286,0.531985964747326
AEF,2,0.7815699554579291,0.4865766465322548
AEF,3,0.7994238008117258,0.4968900620090813
AEF,4,0.716784475537063,0.3868454808507421
AEF,5,0.8278865005525256,0.5328907822550665
AEF,6,0.7865507651748972,0.4910013887117022
AEF,7,0.783814350451998,0.531353734412421
AEF,8,0.7323819038104752,0.3682049776492421
AEF,9,0.7662583232517598,0.43469145450413904
Stack,0,0.790122828159388,0.4868863802418379
Stack,1,0.8335265946414767,0.6035502850537166
Stack,2,0.7294175971688328,0.34694939530254
Stack,3,0.8583019648252126,0.586210427931055
Stack,4,0.7706067445289837,0.4259507154493713
Stack,5,0.8302801839375469,0.5375213991142177
Stack,6,0.7650744277263375,0.4047754040831772
Stack,7,0.7198350576365515,0.3920367569273688
Stack,8,0.7081877306367103,0.4047989794454582
Stack,9,0.7844837440582223,0.4122114680686015
AEF+Stack,0,0.8331362575977882,0.5741057321654958
AEF+Stack,1,0.8659732828025719,0.6387717674270175
AEF+Stack,2,0.8104399292208189,0.49551384005592225
AEF+Stack,3,0.864470520612089,0.5822909585684245
AEF+Stack,4,0.8077026924115396,0.45709316082252816
AEF+Stack,5,0.8597939614301502,0.5747813583702456
AEF+Stack,6,0.8094618055555556,0.47351944150106695
AEF+Stack,7,0.7767448368065542,0.47812384873512487
AEF+Stack,8,0.770596750188587,0.42194820714767745
AEF+Stack,9,0.8124398677805614,0.4812010840813332
