feature_set,test_year,ROC_AUC,n_test,n_train
Stack,2018,0.5288472254325716,1976,11856
Stack,2019,0.6213554858794256,1976,11856
Stack,2020,0.4659377961292578,1976,11856
Stack,2021,0.5851705176066997,1976,11856
Stack,2022,0.5083683626094568,1976,11856
Stack,2023,0.3713188150659625,1976,11856
Stack,2024,0.40864836872087,1976,11856
AEF,2018,0.4459827177717607,1976,11856
AEF,2019,0.43178124174765586,1976,11856
AEF,2020,0.36335657307958036,1976,11856
AEF,2021,0.3941983654525275,1976,11856
AEF,2022,0.45490012918817657,1976,11856
AEF,2023,0.4751744148138489,1976,11856
AEF,2024,0.40576557914724665,1976,11856
AEF+Stack,2018,0.5016056333377361,1976,11856
AEF+Stack,2019,0.5485581876271559,1976,11856
AEF+Stack,2020,0.4145468249481816,1976,11856
AEF+Stack,2021,0.6123045101402482,1976,11856
AEF+Stack,2022,0.46597133940198143,1976,11856
AEF+Stack,2023,0.45036513007759016,1976,11856
AEF+Stack,2024,0.35493411588699003,1976,11856
