ROC_AUC,feature_set,fold,n_test,block_id
0.790122828159388,Stack,0,1806,5
0.8335265946414767,Stack,1,1610,9
0.7294175971688328,Stack,2,1484,4
0.8583019648252126,Stack,3,1351,0
0.7706067445289837,Stack,4,1337,7
0.8302801839375469,Stack,5,1309,6
0.7650744277263375,Stack,6,1267,8
0.7198350576365515,Stack,7,1267,2
0.7081877306367103,Stack,8,1246,3
0.7844837440582223,Stack,9,1155,1
0.7926386083624233,AEF,0,1806,5
0.805126609725286,AEF,1,1610,9
0.7815699554579291,AEF,2,1484,4
0.7994238008117258,AEF,3,1351,0
0.716784475537063,AEF,4,1337,7
0.8278865005525256,AEF,5,1309,6
0.7865507651748972,AEF,6,1267,8
0.783814350451998,AEF,7,1267,2
0.7323819038104752,AEF,8,1246,3
0.7662583232517598,AEF,9,1155,1
0.8331362575977882,AEF+Stack,0,1806,5
0.8659732828025719,AEF+Stack,1,1610,9
0.8104399292208189,AEF+Stack,2,1484,4
0.864470520612089,AEF+Stack,3,1351,0
0.8077026924115396,AEF+Stack,4,1337,7
0.8597939614301502,AEF+Stack,5,1309,6
0.8094618055555556,AEF+Stack,6,1267,8
0.7767448368065542,AEF+Stack,7,1267,2
0.770596750188587,AEF+Stack,8,1246,3
0.8124398677805614,AEF+Stack,9,1155,1
