feature_set,test_year,ROC_AUC,PR_AUC,Brier,n_test,prevalence,mean_pred_prob
Stack,2018,0.5288472254325716,0.550352118898398,0.41619229316711426,1976,0.543,0.153
Stack,2019,0.6213554858794256,0.12016740468745528,0.11171143501996994,1976,0.074,0.2147
Stack,2020,0.4659377961292578,0.09747030072915029,0.24123342335224152,1976,0.105,0.451
Stack,2021,0.5851705176066997,0.06658361059907437,0.054759323596954346,1976,0.054,0.0683
Stack,2022,0.5083683626094568,0.5446544849871859,0.423012375831604,1976,0.54,0.1406
Stack,2023,0.3713188150659625,0.036237233322100236,0.07483288645744324,1976,0.05,0.1335
Stack,2024,0.40864836872087,0.022208454968564308,0.09064377099275589,1976,0.023,0.2213
AEF,2018,0.4459827177717607,0.5205349656054528,0.35578325390815735,1976,0.543,0.2826
AEF,2019,0.43178124174765586,0.061290779093638004,0.08155684173107147,1976,0.074,0.1261
AEF,2020,0.36335657307958036,0.07708412673001462,0.12088840454816818,1976,0.105,0.1628
AEF,2021,0.3941983654525275,0.04492383715336243,0.059463683515787125,1976,0.054,0.1093
AEF,2022,0.45490012918817657,0.5182019225926062,0.3878784477710724,1976,0.54,0.2111
AEF,2023,0.4751744148138489,0.04620612184933627,0.058643270283937454,1976,0.05,0.1177
AEF,2024,0.40576557914724665,0.01788613174419026,0.06901415437459946,1976,0.023,0.1992
AEF+Stack,2018,0.5016056333377361,0.5368017673584585,0.38638707995414734,1976,0.543,0.1965
AEF+Stack,2019,0.5485581876271559,0.08330405136825897,0.07541497051715851,1976,0.074,0.1073
AEF+Stack,2020,0.4145468249481816,0.08429209798228508,0.23179057240486145,1976,0.105,0.4226
AEF+Stack,2021,0.6123045101402482,0.0744737097992142,0.05125032737851143,1976,0.054,0.0464
AEF+Stack,2022,0.46597133940198143,0.5119916105845346,0.41209498047828674,1976,0.54,0.1624
AEF+Stack,2023,0.45036513007759016,0.041245251265481536,0.060974620282649994,1976,0.05,0.1021
AEF+Stack,2024,0.35493411588699003,0.016883588172364752,0.10739276558160782,1976,0.023,0.2614
LC-only,2018,0.36479143276977943,0.4747824034395578,0.4120224416255951,1976,0.543,0.141
LC-only,2019,0.5202352127291595,0.0774084074097763,0.08978638797998428,1976,0.074,0.219
LC-only,2020,0.4810764016898654,0.10305590993986934,0.1058519035577774,1976,0.105,0.2141
LC-only,2021,0.29443799818383615,0.04178634567715533,0.08084254711866379,1976,0.054,0.2228
LC-only,2022,0.49250131198686875,0.5340184027506824,0.4076007306575775,1976,0.54,0.1413
LC-only,2023,0.3777194583903849,0.04123651789757762,0.0780598595738411,1976,0.05,0.2233
LC-only,2024,0.361925312158352,0.01890715111136917,0.06471830606460571,1976,0.023,0.2279
Climate-anomaly-only,2018,0.4860920783251882,0.5238371303300785,0.36251330375671387,1976,0.543,0.2308
Climate-anomaly-only,2019,0.5283434314130244,0.08424141304338512,0.09220360964536667,1976,0.074,0.1677
Climate-anomaly-only,2020,0.4128072575733991,0.09019971643458786,0.22717048227787018,1976,0.105,0.4077
Climate-anomaly-only,2021,0.5365881343961255,0.08310093350297691,0.05116913840174675,1976,0.054,0.0309
Climate-anomaly-only,2022,0.47671313523104886,0.5184331064781342,0.47110146284103394,1976,0.54,0.0731
Climate-anomaly-only,2023,0.4309838951555063,0.04032639313808155,0.04992630332708359,1976,0.05,0.049
Climate-anomaly-only,2024,0.4804994533632545,0.022671524801895923,0.04089004918932915,1976,0.023,0.1242
