feature_set,year,block,ROC_AUC,PR_AUC,Brier,n_test,n_train,prevalence
Stack,2018,0,0.46589339961336645,0.7140402654776405,0.4967092275619507,193,10698,0.736
Stack,2018,1,0.5568755568755569,0.4979139510842583,0.34799209237098694,165,10866,0.448
Stack,2018,2,0.5331453634085214,0.5246264194051646,0.3221842646598816,181,10770,0.42
Stack,2018,3,0.4908422459893048,0.41815491605568883,0.3356913924217224,178,10788,0.382
Stack,2018,4,0.4685758655339362,0.5549450915381624,0.4628305733203888,212,10584,0.58
Stack,2018,5,0.5821437757201646,0.68873281809229,0.4454597532749176,258,10308,0.628
Stack,2018,6,0.6072737686139749,0.5649409845603127,0.3659036457538605,187,10734,0.481
Stack,2018,7,0.42429792429792434,0.336285116096554,0.29835838079452515,191,10710,0.34
Stack,2018,8,0.451705940108002,0.5233393937039482,0.4387674033641815,181,10770,0.536
Stack,2018,9,0.5975064935064935,0.8303381972613669,0.5789102911949158,230,10476,0.761
Stack,2019,0,0.5347619047619048,0.1447306807844601,0.11823949962854385,193,10698,0.13
Stack,2019,1,0.6166560712015258,0.3696311467036109,0.20005139708518982,165,10866,0.133
Stack,2019,2,0.5100129198966409,0.09186775682471521,0.0573958195745945,181,10770,0.05
Stack,2019,3,0.47904761904761906,0.023238524661661195,0.03243798762559891,178,10788,0.017
Stack,2019,4,0.4424495341614907,0.12790087617314935,0.2471088171005249,212,10584,0.132
Stack,2019,5,0.6930555555555555,0.18537198294955656,0.1581626832485199,258,10308,0.116
Stack,2019,6,0.5377532228360958,0.03727937761279236,0.038568977266550064,187,10734,0.032
Stack,2019,7,0.5989010989010989,0.06890266218606017,0.05909326672554016,191,10710,0.047
Stack,2019,8,0.4646198830409357,0.06856659416790731,0.0917961373925209,181,10770,0.055
Stack,2019,9,0.54,0.033918337140731086,0.07144106924533844,230,10476,0.022
Stack,2020,0,0.294987922705314,0.03420575621665753,0.28775307536125183,193,10698,0.047
Stack,2020,1,0.3546099290780142,0.15319606644968572,0.26770246028900146,165,10866,0.145
Stack,2020,2,0.9162011173184358,0.09555555555555556,0.2042679786682129,181,10770,0.011
Stack,2020,3,0.41002859477124187,0.16547138619006957,0.2659432590007782,178,10788,0.191
Stack,2020,4,0.39795129493621956,0.0653409294567355,0.22899815440177917,212,10584,0.061
Stack,2020,5,0.38096816976127323,0.07831438741937657,0.23750872910022736,258,10308,0.101
Stack,2020,6,0.5601796407185629,0.1175553997455775,0.2640571892261505,187,10734,0.107
Stack,2020,7,0.41977513227513225,0.27050097740757423,0.32073020935058594,191,10710,0.293
Stack,2020,8,0.5870279146141214,0.05400443575073699,0.20232905447483063,181,10770,0.039
Stack,2020,9,0.3920852803738318,0.06057418277124208,0.2154742032289505,230,10476,0.07
Stack,2021,0,0.43421052631578944,0.018130826873996274,0.028709372505545616,193,10698,0.016
Stack,2021,1,0.4958847736625514,0.022957477305303394,0.019475681707262993,165,10866,0.018
Stack,2021,2,0.6914596273291924,0.21919501234401034,0.09723836183547974,181,10770,0.11
Stack,2021,3,0.48051697530864196,0.090082922065982,0.09972977638244629,178,10788,0.09
Stack,2021,4,0.5205254515599343,0.052593034606651656,0.046082086861133575,212,10584,0.042
Stack,2021,5,0.5062472110664882,0.07005824889343193,0.03555222973227501,258,10308,0.035
Stack,2021,6,0.4962422634836428,0.07023663884398462,0.07211706787347794,187,10734,0.07
