,A27,A03,A26,A05,A04,A58,A43,A55,A30,A53,A41,A61
NDVI,-0.3770230529453516,0.5719420905620657,-0.32137880904138205,-0.6244173705988466,-0.25090589359863696,-0.3196810782747871,0.12062796920636319,0.45846223157442945,-0.4581874480087016,0.3773808832322777,0.3407275630036948,0.09393687841059717
B2,0.23730600055041762,-0.5694966386364964,0.3367511957570706,0.5922571306329485,0.5072583089890811,0.40059455390538323,-0.08767661315334555,-0.588565726727005,0.2630639479401955,-0.38557090421944584,-0.07034793364116648,-0.14498020605881837
B3,0.15679122360827574,-0.5640512114218368,0.31167516134450174,0.5690527572591049,0.5813230002719756,0.3973874774394424,-0.06998713124896835,-0.605107135209972,0.17290621620510005,-0.3437698496473183,0.04994488766231456,-0.14989152653819748
B4,0.2643901422200104,-0.5748856847170778,0.3089498063595459,0.601165598817595,0.5035036724784899,0.36903118329763296,-0.11151786135354996,-0.5711493855748144,0.28582908693949827,-0.3639983340119473,-0.09538449153108744,-0.16222796699726041
B8,-0.3172457426174293,0.16195395519461583,-0.10593705157731108,-0.22736919272187792,0.29019977060803354,-0.004529964745947099,0.08215559211572994,-0.028308192222028974,-0.4157917646415145,0.13346658869031214,0.4983347976900241,-0.03830432733230465
B11,-0.16077168925342802,-0.28910378222150335,0.21098284297418174,0.37580981425635535,0.593196060663065,0.40609715747954783,0.14544598764718017,-0.44834867435465614,-0.052961570824780375,-0.19981183439070596,0.27251066207303154,0.0075141875237030135
B12,0.09906253446387307,-0.4547767894609777,0.34950867328859225,0.5008433175605738,0.5071634992176103,0.4492108227757467,-0.013521427439787176,-0.5569392023524639,0.16121385959549295,-0.3488820409341215,0.030017639736258723,-0.07894997585113916
VV,0.31286654960811416,0.2060867778554787,-0.1818321434726808,-0.28108713084207015,-0.31281059824868235,-0.31042239735413,-0.34308871585383455,0.27791647907912204,0.11717092742045472,0.15426773567545432,-0.30903937138011656,-0.1830695950964107
VH,0.16691765694898322,0.44280680339630324,-0.31175044323917744,-0.43282646315353573,-0.487019884275711,-0.42737189560610334,-0.21633620956193422,0.5072742701989011,0.028348942971507647,0.26916651745027736,-0.27133539165079196,-0.056744959081874824
VV_div_VH,-0.30333711573413746,0.19097736115046537,-0.07726699041216833,-0.04482641653217255,-0.10885784365781391,-0.009785820704243931,0.3132374895397039,0.16380814492013432,-0.14467872971781953,0.057404989417511695,0.15946567376679072,0.23949911892874928
VV_minus_VH,0.17037305608800232,-0.5011442125545778,0.29669452917406636,0.36817670583439327,0.4195779314380232,0.31331053453992375,-0.12547717320462792,-0.5102084675513471,0.12675958563462467,-0.2603328968418803,0.02788848181281901,-0.17510496895165847
aspect,-0.02145002662094061,0.10479228469001535,-0.1810023764758861,-0.16771211361393112,-0.007028005810288484,-0.12867593502274396,0.05322366623674809,0.21735796324080683,-0.0199053644076836,0.16722504561023965,0.05053377531530376,-0.017284985955550086
elev,-0.46794833912095324,-0.012210501047052081,-0.6439157191158775,-0.04212326121869549,0.446878051926668,-0.3230367601457562,0.2330424925209861,0.3447910259140065,-0.25423495476779284,0.7045459312132332,0.4921724182356261,0.2392365399916838
slope,-0.16205139036173083,0.27361356449786384,-0.4212162175264879,-0.24409956523333767,0.021906189961197284,-0.17193897868210473,0.11824898883402074,0.42703687956579717,-0.08825184144459779,0.4268404627124913,0.13174150212004362,0.1171438073628623
sm_annual,-0.19432168154539414,-0.028021612345210323,-0.10411778911020436,0.04765410824154622,0.16606046561287086,-0.0824581871631741,0.07313649539044788,0.01885358099219151,-0.1115367097031028,0.16551674822127851,0.15489857103244073,0.07781067122881478
t2m_summer,0.3070863171460856,-0.1824239637101967,0.055610258355875256,0.37020573083178243,0.1332543497886067,0.03765684190033478,-0.27640972070098657,-0.13101648833362645,0.21711974496602715,-0.1093523672218397,-0.3084763862741627,-0.28065280645560825
tp_winter,-0.422246264441194,0.13086887762894975,-0.305177532074686,-0.18872425374460497,0.2263858366371802,-0.07012770355847839,0.2139980517239571,0.12689371533516547,-0.36233328686668487,0.4300816736524903,0.46758729222274253,0.16668964041929193
