,0
precip_spring,0.64799356
temp_spring,0.293946
A34_p,0.25348777
sm_winter,0.20194349
A05_p,0.15553562
A53_p,0.15289769
precip_winter,0.11321328
A60_p,0.10750235
A33_p,0.10746081
A27_p,0.10560482
sm_spring,0.10497323
A23_p,0.09664856
A10_p,0.095793
A49_p,0.085843556
A28_p,0.0766673
A14_p,0.07578198
A36_p,0.071428075
A42_p,0.06865949
A13_p,0.06697429
A62_p,0.060313325
A26_p,0.054215666
A55_p,0.05384226
A56_p,0.053530194
A35_p,0.048245132
A24_p,0.047973085
A02_p,0.04738426
A03_p,0.03994121
A43_p,0.03962157
A17_p,0.039115958
A11_p,0.038316656
A08_p,0.03776136
A20_p,0.036939595
A46_p,0.034371138
A54_p,0.033338964
A00_p,0.033170797
A21_p,0.032604653
A29_p,0.032554768
A44_p,0.031088857
A15_p,0.02936921
A18_p,0.02688869
A50_p,0.026169688
A47_p,0.024999497
A39_p,0.024681892
A51_p,0.02408643
A45_p,0.023453591
A06_p,0.023199938
A31_p,0.023070397
A22_p,0.020307139
A59_p,0.020123815
A07_p,0.019965595
A09_p,0.019851139
A41_p,0.01976066
A52_p,0.019751796
A19_p,0.01966937
A37_p,0.019185282
A57_p,0.01845478
A38_p,0.01748003
A32_p,0.017073575
A04_p,0.0160486
A12_p,0.013797023
A63_p,0.013428626
A16_p,0.010676011
A61_p,0.010412312
A30_p,0.010042759
A40_p,0.010029591
A58_p,0.009754968
A25_p,0.009535332
A48_p,0.007982506
A01_p,0.0064630955
